Cohort 19 (Fall 2024 Schedule),,,,,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 1,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 6,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 13,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 20,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 26,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 33,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 39,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
Bootstrap,,,,3,,,,29,F,10/25/2024,,JAVASCRIPT,Project Day,Trevor M.,,3,F,12/13/2024,,BACKEND PROG. - NODE,Node.js Streams,Thomas C.,,3,T,1/24/2025,,BACK END - DEPLOYMENT,Deploying Web Applications and Git,Chase S.,,7,F,3/7/2025,,CAPSTONE,Capstone Project,Thomas C.,,22,F,4/25/2025,,ANGULAR,Day #24: Observables in Angular: Caching and Higher Order Mapping Operators,Megan M.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WEEK 12,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,,,,,Lecture (hours),Start Dates,End Dates,,,,,,,,,,WEEK 32,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,,,,,,,,,,,,,,,
,,,,,,,,30,M,10/28/2024,,JAVASCRIPT,Project Day,Trevor M.,,,,React.js,,30,10/29/2024,12/03/2024,,,,,,,,,,8,M,3/10/2025,,CAPSTONE,Capstone Project,Curtis D.,,,,,,,,,,,,,,,,
,,,,,,,,1,T,10/29/2024,,REACT.js,"Intro, installation, components, styling, data",Scott B.,,,,,,,"Hybrid:21 hours
Lab:39 hours",Total: 90 hours,,,,,,Lecture (hours),Start Dates,End Dates,,9,T,3/11/2025,,CAPSTONE,Capstone Project,Thomas C.,,,,,,,,,,,,,,,,
,,,,,,,,2,W,10/30/2024,,REACT.js,"Rendering arrays, conditional rendering, interactivity, state",Trevor M.,,,,,,,,,,,,Backend Prog.,,15,12/04/2024,01/07/2025,,10,W,3/12/2025,,CAPSTONE,Capstone Project,Curtis D.,,,,,,,,,,,,,,,,
,,,,,,,,3,TH,10/31/2024,,REACT.js,"State, Triggering a rerender",Scott B.,,,,,,,,,,,,Backend Prog.,,15,"Hybrid: 15 hours
Lab:15 hours",Total: 60 hours,,11,TH,3/13/2025,,CAPSTONE,Capstone Project,Thomas C.,,,,,,,,,,,,,,,,
,,,,,,,,4,F,11/1/2024,,REACT.js,Effects,Scott B.,,,,,,,,,,,,Deployment,,9,01/08/2025,01/16/2025,,12,F,3/14/2025,,CAPSTONE,Capstone Project,Curtis D.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Security,,12,Hybrid: 9 hours,Total: 30 hours,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Lecture (hours),Start Dates,End Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
